n_qubits,state_model,first_crossing_density,delta_from_uniform,ratio_to_uniform,perturbation_amplitude,perturbation_frequency,phase_relaxation_steps_mean,torsion_hysteresis_mean,volatility_index_mean,volatility_index_max,catastrophic_unraveling_amplitude,spread_min,spread_max,spread,crossing_seed_count,density_threshold,wall_runtime_ms
6,low-grade-bias,0.12,0.0,1.0,0.2,53.0,21.0,0.104065,0.179121,0.222291,0.2,0.12,0.12,0.0,2,0.12,40.054718
6,low-grade-bias,0.12,0.0,1.0,0.6,53.0,61.333333,0.312194,0.51822,0.63406,0.6,0.12,0.12,0.0,2,0.12,40.105442
6,low-grade-bias,0.12,0.0,1.0,0.2,54.0,22.333333,0.112156,0.192346,0.223041,0.2,0.12,0.12,0.0,2,0.12,54.319967
6,low-grade-bias,0.12,0.0,1.0,0.6,54.0,65.833333,0.336469,0.558287,0.636309,0.6,0.12,0.12,0.0,2,0.12,48.871507
4,high-grade-bias,0.4,0.28,3.333333,0.2,46.0,7.666667,0.019983,0.073922,0.08721,0.2,0.4,0.4,0.0,2,0.12,32.946592
4,high-grade-bias,0.4,0.28,3.333333,0.6,46.0,21.5,0.05995,0.218249,0.256943,0.6,0.4,0.4,0.0,2,0.12,40.14759
4,high-grade-bias,0.4,0.28,3.333333,0.2,47.0,7.0,0.018341,0.067761,0.087533,0.2,0.4,0.4,0.0,2,0.12,36.77932
4,high-grade-bias,0.4,0.28,3.333333,0.6,47.0,19.666667,0.055023,0.200157,0.257912,0.6,0.4,0.4,0.0,2,0.12,31.151788
4,high-grade-bias,0.4,0.28,3.333333,0.2,48.0,6.666667,0.018141,0.066419,0.082334,0.2,0.4,0.4,0.0,2,0.12,35.59455
4,high-grade-bias,0.4,0.28,3.333333,0.6,48.0,19.666667,0.054422,0.198476,0.247003,0.6,0.4,0.4,0.0,2,0.12,43.497514
4,high-grade-bias,0.4,0.28,3.333333,0.2,49.0,6.666667,0.018104,0.066316,0.082456,0.2,0.4,0.4,0.0,2,0.12,33.878258
4,high-grade-bias,0.4,0.28,3.333333,0.6,49.0,19.5,0.054312,0.197777,0.247368,0.6,0.4,0.4,0.0,2,0.12,32.62213
4,high-grade-bias,0.4,0.28,3.333333,0.2,50.0,8.5,0.022977,0.084257,0.086027,0.2,0.4,0.4,0.0,2,0.12,33.984905
4,high-grade-bias,0.4,0.28,3.333333,0.6,50.0,24.5,0.068931,0.250428,0.253392,0.6,0.4,0.4,0.0,2,0.12,38.599398
4,high-grade-bias,0.4,0.28,3.333333,0.2,51.0,7.5,0.019484,0.072134,0.086545,0.2,0.4,0.4,0.0,2,0.12,38.418917
4,high-grade-bias,0.4,0.28,3.333333,0.6,51.0,21.0,0.058453,0.212887,0.254948,0.6,0.4,0.4,0.0,2,0.12,45.677524
4,high-grade-bias,0.4,0.28,3.333333,0.2,52.0,6.0,0.015867,0.058491,0.086135,0.2,0.4,0.4,0.0,2,0.12,37.620083
4,high-grade-bias,0.4,0.28,3.333333,0.6,52.0,17.166667,0.047602,0.173521,0.253717,0.6,0.4,0.4,0.0,2,0.12,42.208983
4,high-grade-bias,0.4,0.28,3.333333,0.2,53.0,6.833333,0.018384,0.067492,0.082334,0.2,0.4,0.4,0.0,2,0.12,39.315352
4,high-grade-bias,0.4,0.28,3.333333,0.6,53.0,19.833333,0.055153,0.200913,0.247003,0.6,0.4,0.4,0.0,2,0.12,38.090215
